index,name,lr,wd,dim,emb,batch
79,c079_lr0p0001_wd1em05_dim256_emb256_batch1024_seed0,0.0001,1e-05,256,256,1024
80,c080_lr0p0001_wd1em05_dim256_emb256_batch2048_seed0,0.0001,1e-05,256,256,2048
81,c081_lr0p0003_wd0_dim64_emb64_batch512_seed0,0.0003,0.0,64,64,512
82,c082_lr0p0003_wd0_dim64_emb64_batch1024_seed0,0.0003,0.0,64,64,1024
83,c083_lr0p0003_wd0_dim64_emb64_batch2048_seed0,0.0003,0.0,64,64,2048
84,c084_lr0p0003_wd0_dim64_emb128_batch512_seed0,0.0003,0.0,64,128,512
85,c085_lr0p0003_wd0_dim64_emb128_batch1024_seed0,0.0003,0.0,64,128,1024
86,c086_lr0p0003_wd0_dim64_emb128_batch2048_seed0,0.0003,0.0,64,128,2048
87,c087_lr0p0003_wd0_dim64_emb256_batch512_seed0,0.0003,0.0,64,256,512
88,c088_lr0p0003_wd0_dim64_emb256_batch1024_seed0,0.0003,0.0,64,256,1024
89,c089_lr0p0003_wd0_dim64_emb256_batch2048_seed0,0.0003,0.0,64,256,2048
90,c090_lr0p0003_wd0_dim128_emb64_batch512_seed0,0.0003,0.0,128,64,512
91,c091_lr0p0003_wd0_dim128_emb64_batch1024_seed0,0.0003,0.0,128,64,1024
92,c092_lr0p0003_wd0_dim128_emb64_batch2048_seed0,0.0003,0.0,128,64,2048
93,c093_lr0p0003_wd0_dim128_emb128_batch512_seed0,0.0003,0.0,128,128,512
94,c094_lr0p0003_wd0_dim128_emb128_batch1024_seed0,0.0003,0.0,128,128,1024
95,c095_lr0p0003_wd0_dim128_emb128_batch2048_seed0,0.0003,0.0,128,128,2048
96,c096_lr0p0003_wd0_dim128_emb256_batch512_seed0,0.0003,0.0,128,256,512
97,c097_lr0p0003_wd0_dim128_emb256_batch1024_seed0,0.0003,0.0,128,256,1024
98,c098_lr0p0003_wd0_dim128_emb256_batch2048_seed0,0.0003,0.0,128,256,2048
99,c099_lr0p0003_wd0_dim256_emb64_batch512_seed0,0.0003,0.0,256,64,512
100,c100_lr0p0003_wd0_dim256_emb64_batch1024_seed0,0.0003,0.0,256,64,1024
101,c101_lr0p0003_wd0_dim256_emb64_batch2048_seed0,0.0003,0.0,256,64,2048
102,c102_lr0p0003_wd0_dim256_emb128_batch512_seed0,0.0003,0.0,256,128,512
103,c103_lr0p0003_wd0_dim256_emb128_batch1024_seed0,0.0003,0.0,256,128,1024
104,c104_lr0p0003_wd0_dim256_emb128_batch2048_seed0,0.0003,0.0,256,128,2048
105,c105_lr0p0003_wd0_dim256_emb256_batch512_seed0,0.0003,0.0,256,256,512
106,c106_lr0p0003_wd0_dim256_emb256_batch1024_seed0,0.0003,0.0,256,256,1024
107,c107_lr0p0003_wd0_dim256_emb256_batch2048_seed0,0.0003,0.0,256,256,2048
108,c108_lr0p0003_wd1em06_dim64_emb64_batch512_seed0,0.0003,1e-06,64,64,512
109,c109_lr0p0003_wd1em06_dim64_emb64_batch1024_seed0,0.0003,1e-06,64,64,1024
110,c110_lr0p0003_wd1em06_dim64_emb64_batch2048_seed0,0.0003,1e-06,64,64,2048
111,c111_lr0p0003_wd1em06_dim64_emb128_batch512_seed0,0.0003,1e-06,64,128,512
112,c112_lr0p0003_wd1em06_dim64_emb128_batch1024_seed0,0.0003,1e-06,64,128,1024
113,c113_lr0p0003_wd1em06_dim64_emb128_batch2048_seed0,0.0003,1e-06,64,128,2048
114,c114_lr0p0003_wd1em06_dim64_emb256_batch512_seed0,0.0003,1e-06,64,256,512
115,c115_lr0p0003_wd1em06_dim64_emb256_batch1024_seed0,0.0003,1e-06,64,256,1024
116,c116_lr0p0003_wd1em06_dim64_emb256_batch2048_seed0,0.0003,1e-06,64,256,2048
117,c117_lr0p0003_wd1em06_dim128_emb64_batch512_seed0,0.0003,1e-06,128,64,512
118,c118_lr0p0003_wd1em06_dim128_emb64_batch1024_seed0,0.0003,1e-06,128,64,1024
119,c119_lr0p0003_wd1em06_dim128_emb64_batch2048_seed0,0.0003,1e-06,128,64,2048
120,c120_lr0p0003_wd1em06_dim128_emb128_batch512_seed0,0.0003,1e-06,128,128,512
121,c121_lr0p0003_wd1em06_dim128_emb128_batch1024_seed0,0.0003,1e-06,128,128,1024
122,c122_lr0p0003_wd1em06_dim128_emb128_batch2048_seed0,0.0003,1e-06,128,128,2048
123,c123_lr0p0003_wd1em06_dim128_emb256_batch512_seed0,0.0003,1e-06,128,256,512
124,c124_lr0p0003_wd1em06_dim128_emb256_batch1024_seed0,0.0003,1e-06,128,256,1024
125,c125_lr0p0003_wd1em06_dim128_emb256_batch2048_seed0,0.0003,1e-06,128,256,2048
126,c126_lr0p0003_wd1em06_dim256_emb64_batch512_seed0,0.0003,1e-06,256,64,512
127,c127_lr0p0003_wd1em06_dim256_emb64_batch1024_seed0,0.0003,1e-06,256,64,1024
128,c128_lr0p0003_wd1em06_dim256_emb64_batch2048_seed0,0.0003,1e-06,256,64,2048
129,c129_lr0p0003_wd1em06_dim256_emb128_batch512_seed0,0.0003,1e-06,256,128,512
130,c130_lr0p0003_wd1em06_dim256_emb128_batch1024_seed0,0.0003,1e-06,256,128,1024
131,c131_lr0p0003_wd1em06_dim256_emb128_batch2048_seed0,0.0003,1e-06,256,128,2048
132,c132_lr0p0003_wd1em06_dim256_emb256_batch512_seed0,0.0003,1e-06,256,256,512
