index,name,win,lr,wd,dim,mask
76,c076_win1m_lr0p003_wd0p001_dim64_mask0p5_seed0,1m,0.003,0.001,64,0.5
77,c077_win1m_lr0p003_wd0p001_dim64_mask0p7_seed0,1m,0.003,0.001,64,0.7
78,c078_win1m_lr0p003_wd0p001_dim128_mask0p3_seed0,1m,0.003,0.001,128,0.3
79,c079_win1m_lr0p003_wd0p001_dim128_mask0p5_seed0,1m,0.003,0.001,128,0.5
80,c080_win1m_lr0p003_wd0p001_dim128_mask0p7_seed0,1m,0.003,0.001,128,0.7
81,c081_win2m_lr0p0003_wd0p0001_dim32_mask0p3_seed0,2m,0.0003,0.0001,32,0.3
82,c082_win2m_lr0p0003_wd0p0001_dim32_mask0p5_seed0,2m,0.0003,0.0001,32,0.5
83,c083_win2m_lr0p0003_wd0p0001_dim32_mask0p7_seed0,2m,0.0003,0.0001,32,0.7
84,c084_win2m_lr0p0003_wd0p0001_dim64_mask0p3_seed0,2m,0.0003,0.0001,64,0.3
85,c085_win2m_lr0p0003_wd0p0001_dim64_mask0p5_seed0,2m,0.0003,0.0001,64,0.5
86,c086_win2m_lr0p0003_wd0p0001_dim64_mask0p7_seed0,2m,0.0003,0.0001,64,0.7
87,c087_win2m_lr0p0003_wd0p0001_dim128_mask0p3_seed0,2m,0.0003,0.0001,128,0.3
88,c088_win2m_lr0p0003_wd0p0001_dim128_mask0p5_seed0,2m,0.0003,0.0001,128,0.5
89,c089_win2m_lr0p0003_wd0p0001_dim128_mask0p7_seed0,2m,0.0003,0.0001,128,0.7
90,c090_win2m_lr0p0003_wd0p0005_dim32_mask0p3_seed0,2m,0.0003,0.0005,32,0.3
91,c091_win2m_lr0p0003_wd0p0005_dim32_mask0p5_seed0,2m,0.0003,0.0005,32,0.5
92,c092_win2m_lr0p0003_wd0p0005_dim32_mask0p7_seed0,2m,0.0003,0.0005,32,0.7
93,c093_win2m_lr0p0003_wd0p0005_dim64_mask0p3_seed0,2m,0.0003,0.0005,64,0.3
94,c094_win2m_lr0p0003_wd0p0005_dim64_mask0p5_seed0,2m,0.0003,0.0005,64,0.5
95,c095_win2m_lr0p0003_wd0p0005_dim64_mask0p7_seed0,2m,0.0003,0.0005,64,0.7
96,c096_win2m_lr0p0003_wd0p0005_dim128_mask0p3_seed0,2m,0.0003,0.0005,128,0.3
97,c097_win2m_lr0p0003_wd0p0005_dim128_mask0p5_seed0,2m,0.0003,0.0005,128,0.5
98,c098_win2m_lr0p0003_wd0p0005_dim128_mask0p7_seed0,2m,0.0003,0.0005,128,0.7
99,c099_win2m_lr0p0003_wd0p001_dim32_mask0p3_seed0,2m,0.0003,0.001,32,0.3
100,c100_win2m_lr0p0003_wd0p001_dim32_mask0p5_seed0,2m,0.0003,0.001,32,0.5
101,c101_win2m_lr0p0003_wd0p001_dim32_mask0p7_seed0,2m,0.0003,0.001,32,0.7
102,c102_win2m_lr0p0003_wd0p001_dim64_mask0p3_seed0,2m,0.0003,0.001,64,0.3
103,c103_win2m_lr0p0003_wd0p001_dim64_mask0p5_seed0,2m,0.0003,0.001,64,0.5
104,c104_win2m_lr0p0003_wd0p001_dim64_mask0p7_seed0,2m,0.0003,0.001,64,0.7
105,c105_win2m_lr0p0003_wd0p001_dim128_mask0p3_seed0,2m,0.0003,0.001,128,0.3
106,c106_win2m_lr0p0003_wd0p001_dim128_mask0p5_seed0,2m,0.0003,0.001,128,0.5
107,c107_win2m_lr0p0003_wd0p001_dim128_mask0p7_seed0,2m,0.0003,0.001,128,0.7
108,c108_win2m_lr0p001_wd0p0001_dim32_mask0p3_seed0,2m,0.001,0.0001,32,0.3
109,c109_win2m_lr0p001_wd0p0001_dim32_mask0p5_seed0,2m,0.001,0.0001,32,0.5
110,c110_win2m_lr0p001_wd0p0001_dim32_mask0p7_seed0,2m,0.001,0.0001,32,0.7
111,c111_win2m_lr0p001_wd0p0001_dim64_mask0p3_seed0,2m,0.001,0.0001,64,0.3
112,c112_win2m_lr0p001_wd0p0001_dim64_mask0p5_seed0,2m,0.001,0.0001,64,0.5
113,c113_win2m_lr0p001_wd0p0001_dim64_mask0p7_seed0,2m,0.001,0.0001,64,0.7
114,c114_win2m_lr0p001_wd0p0001_dim128_mask0p3_seed0,2m,0.001,0.0001,128,0.3
115,c115_win2m_lr0p001_wd0p0001_dim128_mask0p5_seed0,2m,0.001,0.0001,128,0.5
116,c116_win2m_lr0p001_wd0p0001_dim128_mask0p7_seed0,2m,0.001,0.0001,128,0.7
117,c117_win2m_lr0p001_wd0p0005_dim32_mask0p3_seed0,2m,0.001,0.0005,32,0.3
118,c118_win2m_lr0p001_wd0p0005_dim32_mask0p5_seed0,2m,0.001,0.0005,32,0.5
