index,name,lr,wd,cap,batch,neigh
76,c076_lr1em05_wd1em05_caplarge_batch1024_neigh20_seed0,1e-05,1e-05,large,1024,20
77,c077_lr1em05_wd1em05_caplarge_batch1024_neigh50_seed0,1e-05,1e-05,large,1024,50
78,c078_lr1em05_wd1em05_caplarge_batch2048_neigh10_seed0,1e-05,1e-05,large,2048,10
79,c079_lr1em05_wd1em05_caplarge_batch2048_neigh20_seed0,1e-05,1e-05,large,2048,20
80,c080_lr1em05_wd1em05_caplarge_batch2048_neigh50_seed0,1e-05,1e-05,large,2048,50
81,c081_lr3em05_wd0_capdefault_batch512_neigh10_seed0,3e-05,0.0,default,512,10
82,c082_lr3em05_wd0_capdefault_batch512_neigh20_seed0,3e-05,0.0,default,512,20
83,c083_lr3em05_wd0_capdefault_batch512_neigh50_seed0,3e-05,0.0,default,512,50
84,c084_lr3em05_wd0_capdefault_batch1024_neigh10_seed0,3e-05,0.0,default,1024,10
85,c085_lr3em05_wd0_capdefault_batch1024_neigh20_seed0,3e-05,0.0,default,1024,20
86,c086_lr3em05_wd0_capdefault_batch1024_neigh50_seed0,3e-05,0.0,default,1024,50
87,c087_lr3em05_wd0_capdefault_batch2048_neigh10_seed0,3e-05,0.0,default,2048,10
88,c088_lr3em05_wd0_capdefault_batch2048_neigh20_seed0,3e-05,0.0,default,2048,20
89,c089_lr3em05_wd0_capdefault_batch2048_neigh50_seed0,3e-05,0.0,default,2048,50
90,c090_lr3em05_wd0_capmedium_batch512_neigh10_seed0,3e-05,0.0,medium,512,10
91,c091_lr3em05_wd0_capmedium_batch512_neigh20_seed0,3e-05,0.0,medium,512,20
92,c092_lr3em05_wd0_capmedium_batch512_neigh50_seed0,3e-05,0.0,medium,512,50
93,c093_lr3em05_wd0_capmedium_batch1024_neigh10_seed0,3e-05,0.0,medium,1024,10
94,c094_lr3em05_wd0_capmedium_batch1024_neigh20_seed0,3e-05,0.0,medium,1024,20
95,c095_lr3em05_wd0_capmedium_batch1024_neigh50_seed0,3e-05,0.0,medium,1024,50
96,c096_lr3em05_wd0_capmedium_batch2048_neigh10_seed0,3e-05,0.0,medium,2048,10
97,c097_lr3em05_wd0_capmedium_batch2048_neigh20_seed0,3e-05,0.0,medium,2048,20
98,c098_lr3em05_wd0_capmedium_batch2048_neigh50_seed0,3e-05,0.0,medium,2048,50
99,c099_lr3em05_wd0_caplarge_batch512_neigh10_seed0,3e-05,0.0,large,512,10
100,c100_lr3em05_wd0_caplarge_batch512_neigh20_seed0,3e-05,0.0,large,512,20
101,c101_lr3em05_wd0_caplarge_batch512_neigh50_seed0,3e-05,0.0,large,512,50
102,c102_lr3em05_wd0_caplarge_batch1024_neigh10_seed0,3e-05,0.0,large,1024,10
103,c103_lr3em05_wd0_caplarge_batch1024_neigh20_seed0,3e-05,0.0,large,1024,20
104,c104_lr3em05_wd0_caplarge_batch1024_neigh50_seed0,3e-05,0.0,large,1024,50
105,c105_lr3em05_wd0_caplarge_batch2048_neigh10_seed0,3e-05,0.0,large,2048,10
106,c106_lr3em05_wd0_caplarge_batch2048_neigh20_seed0,3e-05,0.0,large,2048,20
107,c107_lr3em05_wd0_caplarge_batch2048_neigh50_seed0,3e-05,0.0,large,2048,50
108,c108_lr3em05_wd1em06_capdefault_batch512_neigh10_seed0,3e-05,1e-06,default,512,10
109,c109_lr3em05_wd1em06_capdefault_batch512_neigh20_seed0,3e-05,1e-06,default,512,20
110,c110_lr3em05_wd1em06_capdefault_batch512_neigh50_seed0,3e-05,1e-06,default,512,50
111,c111_lr3em05_wd1em06_capdefault_batch1024_neigh10_seed0,3e-05,1e-06,default,1024,10
112,c112_lr3em05_wd1em06_capdefault_batch1024_neigh20_seed0,3e-05,1e-06,default,1024,20
113,c113_lr3em05_wd1em06_capdefault_batch1024_neigh50_seed0,3e-05,1e-06,default,1024,50
114,c114_lr3em05_wd1em06_capdefault_batch2048_neigh10_seed0,3e-05,1e-06,default,2048,10
115,c115_lr3em05_wd1em06_capdefault_batch2048_neigh20_seed0,3e-05,1e-06,default,2048,20
116,c116_lr3em05_wd1em06_capdefault_batch2048_neigh50_seed0,3e-05,1e-06,default,2048,50
117,c117_lr3em05_wd1em06_capmedium_batch512_neigh10_seed0,3e-05,1e-06,medium,512,10
118,c118_lr3em05_wd1em06_capmedium_batch512_neigh20_seed0,3e-05,1e-06,medium,512,20
119,c119_lr3em05_wd1em06_capmedium_batch512_neigh50_seed0,3e-05,1e-06,medium,512,50
120,c120_lr3em05_wd1em06_capmedium_batch1024_neigh10_seed0,3e-05,1e-06,medium,1024,10
121,c121_lr3em05_wd1em06_capmedium_batch1024_neigh20_seed0,3e-05,1e-06,medium,1024,20
122,c122_lr3em05_wd1em06_capmedium_batch1024_neigh50_seed0,3e-05,1e-06,medium,1024,50
123,c123_lr3em05_wd1em06_capmedium_batch2048_neigh10_seed0,3e-05,1e-06,medium,2048,10
124,c124_lr3em05_wd1em06_capmedium_batch2048_neigh20_seed0,3e-05,1e-06,medium,2048,20
125,c125_lr3em05_wd1em06_capmedium_batch2048_neigh50_seed0,3e-05,1e-06,medium,2048,50
