index,name,lr,wd,cap,batch,neigh
112,c112_lr5em05_wd0p01_capsmall_batch1024_neigh10_seed0,5e-05,0.01,small,1024,10
113,c113_lr5em05_wd0p01_capsmall_batch1024_neigh20_seed0,5e-05,0.01,small,1024,20
114,c114_lr5em05_wd0p01_capsmall_batch1024_neigh50_seed0,5e-05,0.01,small,1024,50
115,c115_lr5em05_wd0p01_capsmall_batch2048_neigh10_seed0,5e-05,0.01,small,2048,10
116,c116_lr5em05_wd0p01_capsmall_batch2048_neigh20_seed0,5e-05,0.01,small,2048,20
117,c117_lr5em05_wd0p01_capsmall_batch2048_neigh50_seed0,5e-05,0.01,small,2048,50
118,c118_lr5em05_wd0p01_capdefault_batch512_neigh10_seed0,5e-05,0.01,default,512,10
119,c119_lr5em05_wd0p01_capdefault_batch512_neigh20_seed0,5e-05,0.01,default,512,20
120,c120_lr5em05_wd0p01_capdefault_batch512_neigh50_seed0,5e-05,0.01,default,512,50
121,c121_lr5em05_wd0p01_capdefault_batch1024_neigh10_seed0,5e-05,0.01,default,1024,10
122,c122_lr5em05_wd0p01_capdefault_batch1024_neigh50_seed0,5e-05,0.01,default,1024,50
123,c123_lr5em05_wd0p01_capdefault_batch2048_neigh10_seed0,5e-05,0.01,default,2048,10
124,c124_lr5em05_wd0p01_capdefault_batch2048_neigh20_seed0,5e-05,0.01,default,2048,20
125,c125_lr5em05_wd0p01_capdefault_batch2048_neigh50_seed0,5e-05,0.01,default,2048,50
126,c126_lr5em05_wd0p01_caplarge_batch512_neigh10_seed0,5e-05,0.01,large,512,10
127,c127_lr5em05_wd0p01_caplarge_batch512_neigh20_seed0,5e-05,0.01,large,512,20
128,c128_lr5em05_wd0p01_caplarge_batch512_neigh50_seed0,5e-05,0.01,large,512,50
129,c129_lr5em05_wd0p01_caplarge_batch1024_neigh10_seed0,5e-05,0.01,large,1024,10
130,c130_lr5em05_wd0p01_caplarge_batch1024_neigh20_seed0,5e-05,0.01,large,1024,20
131,c131_lr5em05_wd0p01_caplarge_batch1024_neigh50_seed0,5e-05,0.01,large,1024,50
132,c132_lr5em05_wd0p01_caplarge_batch2048_neigh10_seed0,5e-05,0.01,large,2048,10
133,c133_lr5em05_wd0p01_caplarge_batch2048_neigh20_seed0,5e-05,0.01,large,2048,20
134,c134_lr5em05_wd0p01_caplarge_batch2048_neigh50_seed0,5e-05,0.01,large,2048,50
135,c135_lr5em05_wd0p1_capsmall_batch512_neigh10_seed0,5e-05,0.1,small,512,10
136,c136_lr5em05_wd0p1_capsmall_batch512_neigh20_seed0,5e-05,0.1,small,512,20
137,c137_lr5em05_wd0p1_capsmall_batch512_neigh50_seed0,5e-05,0.1,small,512,50
138,c138_lr5em05_wd0p1_capsmall_batch1024_neigh10_seed0,5e-05,0.1,small,1024,10
139,c139_lr5em05_wd0p1_capsmall_batch1024_neigh20_seed0,5e-05,0.1,small,1024,20
140,c140_lr5em05_wd0p1_capsmall_batch1024_neigh50_seed0,5e-05,0.1,small,1024,50
141,c141_lr5em05_wd0p1_capsmall_batch2048_neigh10_seed0,5e-05,0.1,small,2048,10
142,c142_lr5em05_wd0p1_capsmall_batch2048_neigh20_seed0,5e-05,0.1,small,2048,20
143,c143_lr5em05_wd0p1_capsmall_batch2048_neigh50_seed0,5e-05,0.1,small,2048,50
144,c144_lr5em05_wd0p1_capdefault_batch512_neigh10_seed0,5e-05,0.1,default,512,10
145,c145_lr5em05_wd0p1_capdefault_batch512_neigh20_seed0,5e-05,0.1,default,512,20
146,c146_lr5em05_wd0p1_capdefault_batch512_neigh50_seed0,5e-05,0.1,default,512,50
147,c147_lr5em05_wd0p1_capdefault_batch1024_neigh10_seed0,5e-05,0.1,default,1024,10
148,c148_lr5em05_wd0p1_capdefault_batch1024_neigh20_seed0,5e-05,0.1,default,1024,20
149,c149_lr5em05_wd0p1_capdefault_batch1024_neigh50_seed0,5e-05,0.1,default,1024,50
150,c150_lr5em05_wd0p1_capdefault_batch2048_neigh10_seed0,5e-05,0.1,default,2048,10
151,c151_lr5em05_wd0p1_capdefault_batch2048_neigh20_seed0,5e-05,0.1,default,2048,20
152,c152_lr5em05_wd0p1_capdefault_batch2048_neigh50_seed0,5e-05,0.1,default,2048,50
153,c153_lr5em05_wd0p1_caplarge_batch512_neigh10_seed0,5e-05,0.1,large,512,10
154,c154_lr5em05_wd0p1_caplarge_batch512_neigh20_seed0,5e-05,0.1,large,512,20
155,c155_lr5em05_wd0p1_caplarge_batch512_neigh50_seed0,5e-05,0.1,large,512,50
156,c156_lr5em05_wd0p1_caplarge_batch1024_neigh10_seed0,5e-05,0.1,large,1024,10
157,c157_lr5em05_wd0p1_caplarge_batch1024_neigh20_seed0,5e-05,0.1,large,1024,20
158,c158_lr5em05_wd0p1_caplarge_batch1024_neigh50_seed0,5e-05,0.1,large,1024,50
159,c159_lr5em05_wd0p1_caplarge_batch2048_neigh10_seed0,5e-05,0.1,large,2048,10
160,c160_lr5em05_wd0p1_caplarge_batch2048_neigh20_seed0,5e-05,0.1,large,2048,20
161,c161_lr5em05_wd0p1_caplarge_batch2048_neigh50_seed0,5e-05,0.1,large,2048,50
162,c162_lr0p0001_wd0p001_capsmall_batch512_neigh10_seed0,0.0001,0.001,small,512,10
163,c163_lr0p0001_wd0p001_capsmall_batch512_neigh20_seed0,0.0001,0.001,small,512,20
164,c164_lr0p0001_wd0p001_capsmall_batch512_neigh50_seed0,0.0001,0.001,small,512,50
165,c165_lr0p0001_wd0p001_capsmall_batch1024_neigh10_seed0,0.0001,0.001,small,1024,10
166,c166_lr0p0001_wd0p001_capsmall_batch1024_neigh20_seed0,0.0001,0.001,small,1024,20
167,c167_lr0p0001_wd0p001_capsmall_batch1024_neigh50_seed0,0.0001,0.001,small,1024,50
168,c168_lr0p0001_wd0p001_capsmall_batch2048_neigh10_seed0,0.0001,0.001,small,2048,10
169,c169_lr0p0001_wd0p001_capsmall_batch2048_neigh20_seed0,0.0001,0.001,small,2048,20
170,c170_lr0p0001_wd0p001_capsmall_batch2048_neigh50_seed0,0.0001,0.001,small,2048,50
171,c171_lr0p0001_wd0p001_capdefault_batch512_neigh10_seed0,0.0001,0.001,default,512,10
172,c172_lr0p0001_wd0p001_capdefault_batch512_neigh20_seed0,0.0001,0.001,default,512,20
173,c173_lr0p0001_wd0p001_capdefault_batch512_neigh50_seed0,0.0001,0.001,default,512,50
174,c174_lr0p0001_wd0p001_capdefault_batch1024_neigh10_seed0,0.0001,0.001,default,1024,10
175,c175_lr0p0001_wd0p001_capdefault_batch1024_neigh20_seed0,0.0001,0.001,default,1024,20
176,c176_lr0p0001_wd0p001_capdefault_batch1024_neigh50_seed0,0.0001,0.001,default,1024,50
177,c177_lr0p0001_wd0p001_capdefault_batch2048_neigh10_seed0,0.0001,0.001,default,2048,10
178,c178_lr0p0001_wd0p001_capdefault_batch2048_neigh20_seed0,0.0001,0.001,default,2048,20
179,c179_lr0p0001_wd0p001_capdefault_batch2048_neigh50_seed0,0.0001,0.001,default,2048,50
180,c180_lr0p0001_wd0p001_caplarge_batch512_neigh10_seed0,0.0001,0.001,large,512,10
181,c181_lr0p0001_wd0p001_caplarge_batch512_neigh20_seed0,0.0001,0.001,large,512,20
182,c182_lr0p0001_wd0p001_caplarge_batch512_neigh50_seed0,0.0001,0.001,large,512,50
183,c183_lr0p0001_wd0p001_caplarge_batch1024_neigh10_seed0,0.0001,0.001,large,1024,10
184,c184_lr0p0001_wd0p001_caplarge_batch1024_neigh20_seed0,0.0001,0.001,large,1024,20
185,c185_lr0p0001_wd0p001_caplarge_batch1024_neigh50_seed0,0.0001,0.001,large,1024,50
186,c186_lr0p0001_wd0p001_caplarge_batch2048_neigh10_seed0,0.0001,0.001,large,2048,10
187,c187_lr0p0001_wd0p001_caplarge_batch2048_neigh20_seed0,0.0001,0.001,large,2048,20
188,c188_lr0p0001_wd0p001_caplarge_batch2048_neigh50_seed0,0.0001,0.001,large,2048,50
189,c189_lr0p0001_wd0p01_capsmall_batch512_neigh10_seed0,0.0001,0.01,small,512,10
190,c190_lr0p0001_wd0p01_capsmall_batch512_neigh20_seed0,0.0001,0.01,small,512,20
191,c191_lr0p0001_wd0p01_capsmall_batch512_neigh50_seed0,0.0001,0.01,small,512,50
192,c192_lr0p0001_wd0p01_capsmall_batch1024_neigh10_seed0,0.0001,0.01,small,1024,10
193,c193_lr0p0001_wd0p01_capsmall_batch1024_neigh20_seed0,0.0001,0.01,small,1024,20
194,c194_lr0p0001_wd0p01_capsmall_batch1024_neigh50_seed0,0.0001,0.01,small,1024,50
195,c195_lr0p0001_wd0p01_capsmall_batch2048_neigh10_seed0,0.0001,0.01,small,2048,10
196,c196_lr0p0001_wd0p01_capsmall_batch2048_neigh20_seed0,0.0001,0.01,small,2048,20
197,c197_lr0p0001_wd0p01_capsmall_batch2048_neigh50_seed0,0.0001,0.01,small,2048,50
198,c198_lr0p0001_wd0p01_capdefault_batch512_neigh10_seed0,0.0001,0.01,default,512,10
199,c199_lr0p0001_wd0p01_capdefault_batch512_neigh20_seed0,0.0001,0.01,default,512,20
200,c200_lr0p0001_wd0p01_capdefault_batch512_neigh50_seed0,0.0001,0.01,default,512,50
201,c201_lr0p0001_wd0p01_capdefault_batch1024_neigh10_seed0,0.0001,0.01,default,1024,10
202,c202_lr0p0001_wd0p01_capdefault_batch1024_neigh20_seed0,0.0001,0.01,default,1024,20
203,c203_lr0p0001_wd0p01_capdefault_batch1024_neigh50_seed0,0.0001,0.01,default,1024,50
204,c204_lr0p0001_wd0p01_capdefault_batch2048_neigh10_seed0,0.0001,0.01,default,2048,10
205,c205_lr0p0001_wd0p01_capdefault_batch2048_neigh20_seed0,0.0001,0.01,default,2048,20
206,c206_lr0p0001_wd0p01_capdefault_batch2048_neigh50_seed0,0.0001,0.01,default,2048,50
207,c207_lr0p0001_wd0p01_caplarge_batch512_neigh10_seed0,0.0001,0.01,large,512,10
208,c208_lr0p0001_wd0p01_caplarge_batch512_neigh20_seed0,0.0001,0.01,large,512,20
209,c209_lr0p0001_wd0p01_caplarge_batch512_neigh50_seed0,0.0001,0.01,large,512,50
210,c210_lr0p0001_wd0p01_caplarge_batch1024_neigh10_seed0,0.0001,0.01,large,1024,10
